,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
14919,199805,17,2000,199805,17,2005,2078024,5644156,MICHIGAN,1998,Thunderstorm Wind,C,13,BARAGA,MQT,17-MAY-98 20:00:00,EST,17-MAY-98 20:05:00,0,0,0,0,1998,5
14920,199805,17,2005,199805,17,2006,2078024,5644157,MICHIGAN,1998,Thunderstorm Wind,C,13,BARAGA,MQT,17-MAY-98 20:05:00,EST,17-MAY-98 20:06:00,0,0,0,0,1998,5
14944,199807,21,630,199807,21,630,2082809,5662169,MICHIGAN,1998,Thunderstorm Wind,C,25,CALHOUN,GRR,21-JUL-98 06:30:00,EST,21-JUL-98 06:30:00,0,0,0,0,1998,7
15057,199804,16,1200,199804,16,1200,2081014,5654431,MICHIGAN,1998,Hail,C,5,ALLEGAN,GRR,16-APR-98 12:00:00,EST,16-APR-98 12:00:00,0,0,0,0,1998,4
15085,199803,13,1500,199803,14,400,2083610,5661382,MICHIGAN,1998,Heavy Snow,Z,67,INGHAM,GRR,13-MAR-98 15:00:00,EST,14-MAR-98 04:00:00,0,0,0,0,1998,3
15220,199812,31,700,199812,31,2359,2151764,5678070,MICHIGAN,1998,Lake-Effect Snow,Z,65,BARRY,GRR,31-DEC-98 07:00:00,EST,31-DEC-98 23:59:00,0,0,0,0,1998,2
15295,199805,29,318,199805,29,318,2076951,5641576,MICHIGAN,1998,Thunderstorm Wind,C,151,SANILAC,DTX,29-MAY-98 03:18:00,EST,29-MAY-98 03:18:00,0,0,0,0,1998,5
15296,199805,29,245,199805,29,245,2076951,5641577,MICHIGAN,1998,Thunderstorm Wind,C,157,TUSCOLA,DTX,29-MAY-98 02:45:00,EST,29-MAY-98 02:45:00,0,0,0,0,1998,5
15297,199805,29,308,199805,29,308,2076951,5641578,MICHIGAN,1998,Hail,C,157,TUSCOLA,DTX,29-MAY-98 03:08:00,EST,29-MAY-98 03:08:00,0,0,0,0,1998,5
15350,199805,19,1715,199805,19,1715,2076950,5641568,MICHIGAN,1998,Hail,C,151,SANILAC,DTX,19-MAY-98 17:15:00,EST,19-MAY-98 17:15:00,0,0,0,0,1998,5
15351,199805,19,1735,199805,19,1735,2076950,5641569,MICHIGAN,1998,Hail,C,63,HURON,DTX,19-MAY-98 17:35:00,EST,19-MAY-98 17:35:00,0,0,0,0,1998,5
15371,199805,29,200,199805,29,200,2076951,5641571,MICHIGAN,1998,Thunderstorm Wind,C,145,SAGINAW,DTX,29-MAY-98 02:00:00,EST,29-MAY-98 02:00:00,0,0,0,0,1998,5
15890,199806,12,1604,199806,12,1604,2082316,5658532,MICHIGAN,1998,Thunderstorm Wind,C,45,EATON,GRR,12-JUN-98 16:04:00,EST,12-JUN-98 16:04:00,0,0,0,0,1998,6
15893,199806,24,1625,199806,24,1625,2082321,5658831,MICHIGAN,1998,Tornado,C,45,EATON,GRR,24-JUN-98 16:25:00,EST,24-JUN-98 16:25:00,0,0,0,0,1998,6
15975,199806,25,1930,199806,25,1930,1061847,5650649,MICHIGAN,1998,Thunderstorm Wind,C,137,OTSEGO,APX,25-JUN-98 19:30:00,EST,25-JUN-98 19:30:00,0,0,0,0,1998,6
16051,199801,4,0,199801,4,1000,2078635,5650216,MICHIGAN,1998,Winter Weather,Z,50,MUSKEGON,GRR,04-JAN-98 00:00:00,EST,04-JAN-98 10:00:00,0,0,0,0,1998,1
16065,199803,13,1500,199803,14,400,2083610,5661387,MICHIGAN,1998,Heavy Snow,Z,38,LAKE,GRR,13-MAR-98 15:00:00,EST,14-MAR-98 04:00:00,0,0,0,0,1998,3
16178,199801,22,1900,199801,23,1000,2078640,5650393,MICHIGAN,1998,Winter Storm,Z,40,CLARE,GRR,22-JAN-98 19:00:00,EST,23-JAN-98 10:00:00,0,0,0,0,1998,1
16298,199801,8,800,199801,8,2300,2072543,5627442,MICHIGAN,1998,Winter Storm,Z,31,MANISTEE,APX,08-JAN-98 08:00:00,EST,08-JAN-98 23:00:00,0,0,0,0,1998,1
16318,199803,13,1500,199803,14,400,2083610,5661302,MICHIGAN,1998,Heavy Snow,Z,64,ALLEGAN,GRR,13-MAR-98 15:00:00,EST,14-MAR-98 04:00:00,0,0,0,0,1998,3
16326,199807,14,1940,199807,14,1945,2082392,5658633,MICHIGAN,1998,Funnel Cloud,C,103,MARQUETTE,MQT,14-JUL-98 19:40:00,EST,14-JUL-98 19:45:00,0,0,0,0,1998,7
16351,199806,25,1910,199806,25,1910,1061847,5650647,MICHIGAN,1998,Tornado,C,79,KALKASKA,APX,25-JUN-98 19:10:00,EST,25-JUN-98 19:10:00,0,0,0,0,1998,6
16352,199806,25,1923,199806,25,1923,1061847,5650648,MICHIGAN,1998,Thunderstorm Wind,C,137,OTSEGO,APX,25-JUN-98 19:23:00,EST,25-JUN-98 19:23:00,0,0,0,0,1998,6
16438,199806,12,1642,199806,12,1642,2082316,5658535,MICHIGAN,1998,Hail,C,25,CALHOUN,GRR,12-JUN-98 16:42:00,EST,12-JUN-98 16:42:00,0,0,0,0,1998,6
16707,199808,24,1604,199808,24,1604,2083642,5662056,MICHIGAN,1998,Thunderstorm Wind,C,27,CASS,IWX,24-AUG-98 16:04:00,EST,24-AUG-98 16:04:00,0,0,0,0,1998,8
16716,199806,12,1635,199806,12,1635,2078486,5650834,MICHIGAN,1998,Hail,C,91,LENAWEE,DTX,12-JUN-98 16:35:00,EST,12-JUN-98 16:35:00,0,0,0,0,1998,6
16788,199806,25,2025,199806,25,2025,2082323,5657587,MICHIGAN,1998,Hail,C,65,INGHAM,GRR,25-JUN-98 20:25:00,EST,25-JUN-98 20:25:00,0,0,0,0,1998,6
16905,199803,13,1500,199803,14,400,2083610,5661391,MICHIGAN,1998,Heavy Snow,Z,50,MUSKEGON,GRR,13-MAR-98 15:00:00,EST,14-MAR-98 04:00:00,0,0,0,0,1998,3
16992,199803,30,1405,199803,30,1410,2083606,5661365,MICHIGAN,1998,Hail,C,85,LAKE,GRR,30-MAR-98 14:05:00,EST,30-MAR-98 14:10:00,0,0,0,0,1998,3
16993,199803,30,1500,199803,30,1500,2083606,5661366,MICHIGAN,1998,Hail,C,85,LAKE,GRR,30-MAR-98 15:00:00,EST,30-MAR-98 15:00:00,0,0,0,0,1998,3
16994,199803,22,2000,199803,25,1200,2083608,5661369,MICHIGAN,1998,Flood,Z,56,OTTAWA,GRR,22-MAR-98 20:00:00,EST,25-MAR-98 12:00:00,0,0,0,0,1998,3
16997,199803,28,1100,199803,28,1100,2083605,5661364,MICHIGAN,1998,Thunderstorm Wind,C,75,JACKSON,GRR,28-MAR-98 11:00:00,EST,28-MAR-98 11:00:00,0,0,0,0,1998,3
16999,199805,19,1804,199805,19,1804,2076950,5641570,MICHIGAN,1998,Hail,C,147,ST. CLAIR,DTX,19-MAY-98 18:04:00,EST,19-MAY-98 18:04:00,0,0,0,0,1998,5
17046,199807,14,1830,199807,14,1830,2082392,5658626,MICHIGAN,1998,Thunderstorm Wind,C,13,BARAGA,MQT,14-JUL-98 18:30:00,EST,14-JUL-98 18:30:00,0,0,0,0,1998,7
17047,199807,14,1840,199807,14,1845,2082392,5658627,MICHIGAN,1998,Thunderstorm Wind,C,71,IRON,MQT,14-JUL-98 18:40:00,EST,14-JUL-98 18:45:00,0,0,0,0,1998,7
17048,199807,14,1900,199807,14,1900,2082392,5658628,MICHIGAN,1998,Thunderstorm Wind,C,103,MARQUETTE,MQT,14-JUL-98 19:00:00,EST,14-JUL-98 19:00:00,0,0,0,0,1998,7
17049,199807,14,1905,199807,14,1905,2082392,5658629,MICHIGAN,1998,Thunderstorm Wind,C,103,MARQUETTE,MQT,14-JUL-98 19:05:00,EST,14-JUL-98 19:05:00,0,0,0,0,1998,7
17140,199804,16,1420,199804,16,1420,2081014,5654595,MICHIGAN,1998,Thunderstorm Wind,C,45,EATON,GRR,16-APR-98 14:20:00,EST,16-APR-98 14:20:00,0,0,0,0,1998,4
17148,199804,16,1400,199804,16,1400,2081014,5654593,MICHIGAN,1998,Hail,C,73,ISABELLA,GRR,16-APR-98 14:00:00,EST,16-APR-98 14:00:00,0,0,0,0,1998,4
17149,199804,16,1420,199804,16,1420,2081014,5654594,MICHIGAN,1998,Hail,C,65,INGHAM,GRR,16-APR-98 14:20:00,EST,16-APR-98 14:20:00,0,0,0,0,1998,4
17150,199804,27,0,199804,28,800,2081015,5654596,MICHIGAN,1998,Cold/Wind Chill,Z,51,MONTCALM,GRR,27-APR-98 00:00:00,EST,28-APR-98 08:00:00,0,0,0,0,1998,4
17181,199803,10,100,199803,11,700,2083611,5661397,MICHIGAN,1998,Lake-Effect Snow,Z,77,BERRIEN,GRR,10-MAR-98 01:00:00,EST,11-MAR-98 07:00:00,0,0,0,0,1998,3
17188,199801,8,800,199801,8,2300,2072543,5627431,MICHIGAN,1998,Winter Storm,Z,42,ARENAC,APX,08-JAN-98 08:00:00,EST,08-JAN-98 23:00:00,0,0,0,0,1998,1
17189,199801,8,800,199801,8,2300,2072543,5627432,MICHIGAN,1998,Winter Storm,Z,25,BENZIE,APX,08-JAN-98 08:00:00,EST,08-JAN-98 23:00:00,0,0,0,0,1998,1
17238,199804,3,1000,199804,4,800,2081016,5654597,MICHIGAN,1998,Flood,Z,39,OSCEOLA,GRR,03-APR-98 10:00:00,EST,04-APR-98 08:00:00,0,0,0,0,1998,4
17241,199806,25,2345,199806,25,2345,2082323,5657682,MICHIGAN,1998,Thunderstorm Wind,C,77,KALAMAZOO,GRR,25-JUN-98 23:45:00,EST,25-JUN-98 23:45:00,0,0,0,0,1998,6
17250,199806,26,0,199806,26,0,2082323,5657683,MICHIGAN,1998,Hail,C,77,KALAMAZOO,GRR,26-JUN-98 00:00:00,EST,26-JUN-98 00:00:00,0,0,0,0,1998,6
