,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
25,199706,24,2004,199706,24,2004,2069093,5618406,MICHIGAN,1997,Thunderstorm Wind,C,121,MUSKEGON,GRR,24-JUN-97 20:04:00,EST,24-JUN-97 20:04:00,0,0,0,0,1997,6
26,199706,30,1520,199706,30,1520,2069094,5618407,MICHIGAN,1997,Thunderstorm Wind,C,81,KENT,GRR,30-JUN-97 15:20:00,EST,30-JUN-97 15:20:00,0,0,0,0,1997,6
218,199706,30,1545,199706,30,1545,2069094,5618408,MICHIGAN,1997,Thunderstorm Wind,C,107,MECOSTA,GRR,30-JUN-97 15:45:00,EST,30-JUN-97 15:45:00,0,0,0,0,1997,6
791,199707,2,1515,199707,2,1515,2066048,5605737,MICHIGAN,1997,Thunderstorm Wind,C,129,OGEMAW,APX,02-JUL-97 15:15:00,EST,02-JUL-97 15:15:00,0,0,0,0,1997,7
792,199707,2,1515,199707,2,1515,2066048,5605738,MICHIGAN,1997,Tornado,C,11,ARENAC,APX,02-JUL-97 15:15:00,EST,02-JUL-97 15:15:00,1,0,0,0,1997,7
793,199707,2,1520,199707,2,1520,2066048,5605739,MICHIGAN,1997,Hail,C,1,ALCONA,APX,02-JUL-97 15:20:00,EST,02-JUL-97 15:20:00,0,0,0,0,1997,7
794,199707,2,1530,199707,2,1530,2066048,5605740,MICHIGAN,1997,Thunderstorm Wind,C,47,EMMET,APX,02-JUL-97 15:30:00,EST,02-JUL-97 15:30:00,0,0,0,0,1997,7
795,199707,2,1540,199707,2,1540,2066048,5605741,MICHIGAN,1997,Hail,C,11,ARENAC,APX,02-JUL-97 15:40:00,EST,02-JUL-97 15:40:00,0,0,0,0,1997,7
796,199707,2,1530,199707,2,1530,2066048,5605742,MICHIGAN,1997,Thunderstorm Wind,C,1,ALCONA,APX,02-JUL-97 15:30:00,EST,02-JUL-97 15:30:00,0,0,0,0,1997,7
797,199707,2,1515,199707,2,1515,2066048,5605743,MICHIGAN,1997,Thunderstorm Wind,C,31,CHEBOYGAN,APX,02-JUL-97 15:15:00,EST,02-JUL-97 15:15:00,0,0,0,0,1997,7
798,199707,2,1710,199707,2,1710,2066048,5605744,MICHIGAN,1997,Hail,C,119,MONTMORENCY,APX,02-JUL-97 17:10:00,EST,02-JUL-97 17:10:00,0,0,0,0,1997,7
813,199707,16,1505,199707,16,1505,2066051,5605752,MICHIGAN,1997,Thunderstorm Wind,C,129,OGEMAW,APX,16-JUL-97 15:05:00,EST,16-JUL-97 15:05:00,0,0,0,0,1997,7
814,199707,16,1530,199707,16,1530,2066051,5605753,MICHIGAN,1997,Thunderstorm Wind,C,11,ARENAC,APX,16-JUL-97 15:30:00,EST,16-JUL-97 15:30:00,0,0,0,0,1997,7
815,199707,16,1950,199707,16,1950,2066051,5605754,MICHIGAN,1997,Hail,C,119,MONTMORENCY,APX,16-JUL-97 19:50:00,EST,16-JUL-97 19:50:00,0,0,0,0,1997,7
816,199707,16,2000,199707,16,2000,2066051,5605755,MICHIGAN,1997,Hail,C,119,MONTMORENCY,APX,16-JUL-97 20:00:00,EST,16-JUL-97 20:00:00,0,0,0,0,1997,7
817,199707,16,2000,199707,16,2000,2066051,5605756,MICHIGAN,1997,Thunderstorm Wind,C,119,MONTMORENCY,APX,16-JUL-97 20:00:00,EST,16-JUL-97 20:00:00,0,0,0,0,1997,7
841,199707,2,1520,199707,2,1520,2069668,5617833,MICHIGAN,1997,Funnel Cloud,C,37,CLINTON,GRR,02-JUL-97 15:20:00,EST,02-JUL-97 15:20:00,0,0,0,0,1997,7
842,199707,2,1520,199707,2,1520,2069668,5617834,MICHIGAN,1997,Thunderstorm Wind,C,45,EATON,GRR,02-JUL-97 15:20:00,EST,02-JUL-97 15:20:00,0,0,0,0,1997,7
875,199707,8,1910,199707,8,1910,2065723,5607736,MICHIGAN,1997,Hail,C,163,WAYNE,DTX,08-JUL-97 19:10:00,EST,08-JUL-97 19:10:00,0,0,0,0,1997,7
876,199707,8,1830,199707,8,1830,2065723,5607738,MICHIGAN,1997,Hail,C,163,WAYNE,DTX,08-JUL-97 18:30:00,EST,08-JUL-97 18:30:00,0,0,0,0,1997,7
924,199707,8,1823,199707,8,1823,2065723,5607737,MICHIGAN,1997,Hail,C,163,WAYNE,DTX,08-JUL-97 18:23:00,EST,08-JUL-97 18:23:00,0,0,0,0,1997,7
925,199707,8,1820,199707,8,1820,2065723,5607732,MICHIGAN,1997,Hail,C,163,WAYNE,DTX,08-JUL-97 18:20:00,EST,08-JUL-97 18:20:00,0,0,0,0,1997,7
940,199707,2,600,199707,2,600,2069668,5619451,MICHIGAN,1997,Hail,C,21,BERRIEN,GRR,02-JUL-97 06:00:00,EST,02-JUL-97 06:00:00,0,0,0,0,1997,7
1059,199707,2,1420,199707,2,1420,2066048,5605728,MICHIGAN,1997,Hail,C,135,OSCODA,APX,02-JUL-97 14:20:00,EST,02-JUL-97 14:20:00,0,0,0,0,1997,7
1060,199707,2,1422,199707,2,1422,2066048,5605729,MICHIGAN,1997,Hail,C,135,OSCODA,APX,02-JUL-97 14:22:00,EST,02-JUL-97 14:22:00,0,0,0,0,1997,7
1061,199707,2,1435,199707,2,1435,2066048,5605730,MICHIGAN,1997,Hail,C,135,OSCODA,APX,02-JUL-97 14:35:00,EST,02-JUL-97 14:35:00,0,0,0,0,1997,7
1083,199707,17,325,199707,17,325,2067349,5610002,MICHIGAN,1997,Thunderstorm Wind,C,103,MARQUETTE,MQT,17-JUL-97 03:25:00,EST,17-JUL-97 03:25:00,0,0,0,0,1997,7
1084,199707,17,405,199707,17,405,2067349,5610003,MICHIGAN,1997,Hail,C,103,MARQUETTE,MQT,17-JUL-97 04:05:00,EST,17-JUL-97 04:05:00,0,0,0,0,1997,7
1132,199707,16,520,199707,16,522,2067349,5609991,MICHIGAN,1997,Hail,C,131,ONTONAGON,MQT,16-JUL-97 05:20:00,EST,16-JUL-97 05:22:00,0,0,0,0,1997,7
1133,199707,16,536,199707,16,540,2067349,5609992,MICHIGAN,1997,Thunderstorm Wind,C,131,ONTONAGON,MQT,16-JUL-97 05:36:00,EST,16-JUL-97 05:40:00,0,0,0,0,1997,7
1134,199707,16,545,199707,16,550,2067349,5609993,MICHIGAN,1997,Thunderstorm Wind,C,131,ONTONAGON,MQT,16-JUL-97 05:45:00,EST,16-JUL-97 05:50:00,0,0,0,0,1997,7
1135,199707,16,555,199707,16,600,2067349,5609994,MICHIGAN,1997,Thunderstorm Wind,C,61,HOUGHTON,MQT,16-JUL-97 05:55:00,EST,16-JUL-97 06:00:00,0,0,0,0,1997,7
1136,199707,16,815,199707,16,815,2067349,5609995,MICHIGAN,1997,Thunderstorm Wind,C,3,ALGER,MQT,16-JUL-97 08:15:00,EST,16-JUL-97 08:15:00,0,0,0,0,1997,7
1137,199707,16,1640,199707,16,1640,2067349,5609996,MICHIGAN,1997,Hail,C,41,DELTA,MQT,16-JUL-97 16:40:00,EST,16-JUL-97 16:40:00,0,0,0,0,1997,7
1141,199707,2,1435,199707,2,1435,2066048,5605731,MICHIGAN,1997,Hail,C,11,ARENAC,APX,02-JUL-97 14:35:00,EST,02-JUL-97 14:35:00,0,0,0,0,1997,7
1142,199707,2,1435,199707,2,1435,2066048,5605732,MICHIGAN,1997,Hail,C,135,OSCODA,APX,02-JUL-97 14:35:00,EST,02-JUL-97 14:35:00,0,0,0,0,1997,7
1143,199707,2,1444,199707,2,1444,2066048,5605733,MICHIGAN,1997,Hail,C,11,ARENAC,APX,02-JUL-97 14:44:00,EST,02-JUL-97 14:44:00,0,0,0,0,1997,7
1144,199707,2,1446,199707,2,1446,2066048,5605734,MICHIGAN,1997,Hail,C,11,ARENAC,APX,02-JUL-97 14:46:00,EST,02-JUL-97 14:46:00,0,0,0,0,1997,7
1145,199707,2,1453,199707,2,1453,2066048,5605735,MICHIGAN,1997,Hail,C,11,ARENAC,APX,02-JUL-97 14:53:00,EST,02-JUL-97 14:53:00,0,0,0,0,1997,7
1146,199707,2,1510,199707,2,1510,2066048,5605736,MICHIGAN,1997,Hail,C,69,IOSCO,APX,02-JUL-97 15:10:00,EST,02-JUL-97 15:10:00,0,0,0,0,1997,7
