,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
831,200501,2,400,200501,2,800,1184213,5434840,MICHIGAN,2005,Ice Storm,Z,19,CHARLEVOIX,APX,02-JAN-05 04:00:00,EST,02-JAN-05 08:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
847,200501,2,400,200501,2,1000,1184213,5434835,MICHIGAN,2005,Winter Storm,Z,8,CHIPPEWA,APX,02-JAN-05 04:00:00,EST,02-JAN-05 10:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
848,200501,2,400,200501,2,900,1184213,5434836,MICHIGAN,2005,Ice Storm,Z,15,MACKINAC,APX,02-JAN-05 04:00:00,EST,02-JAN-05 09:00:00,0,0,0,0,LAW ENFORCEMENT,2005,1
850,200501,2,400,200501,2,700,1184213,5434842,MICHIGAN,2005,Ice Storm,Z,21,ANTRIM,APX,02-JAN-05 04:00:00,EST,02-JAN-05 07:00:00,0,0,0,0,LAW ENFORCEMENT,2005,1
939,200501,6,1700,200501,6,1700,1184215,5434974,MICHIGAN,2005,Heavy Snow,Z,19,CHARLEVOIX,APX,06-JAN-05 17:00:00,EST,06-JAN-05 17:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
940,200501,18,2200,200501,19,400,1184216,5434975,MICHIGAN,2005,Winter Storm,Z,8,CHIPPEWA,APX,18-JAN-05 22:00:00,EST,19-JAN-05 04:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
941,200501,18,2200,200501,19,400,1184216,5434976,MICHIGAN,2005,Winter Storm,Z,15,MACKINAC,APX,18-JAN-05 22:00:00,EST,19-JAN-05 04:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
1055,200501,2,500,200501,2,900,1184213,5434839,MICHIGAN,2005,Ice Storm,Z,18,PRESQUE ISLE,APX,02-JAN-05 05:00:00,EST,02-JAN-05 09:00:00,0,0,0,0,LAW ENFORCEMENT,2005,1
1607,200501,22,300,200501,22,1900,1184111,5436495,MICHIGAN,2005,Winter Storm,Z,70,MACOMB,DTX,22-JAN-05 03:00:00,EST,22-JAN-05 19:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
1671,200501,22,300,200501,22,1900,1184111,5436494,MICHIGAN,2005,Winter Storm,Z,68,LIVINGSTON,DTX,22-JAN-05 03:00:00,EST,22-JAN-05 19:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
1746,200501,2,400,200501,2,600,1184213,5434841,MICHIGAN,2005,Ice Storm,Z,20,LEELANAU,APX,02-JAN-05 04:00:00,EST,02-JAN-05 06:00:00,0,0,0,0,TRAINED SPOTTER,2005,1
