,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
187,199508,13,1320,199508,13,1330,10314084,MICHIGAN,1995,Hail,C,111,MIDLAND,13-AUG-95 13:20:00,EST,13-AUG-95 13:30:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1995,8
253,199507,15,1529,199507,15,1529,10331643,MICHIGAN,1995,Hail,C,117,MONTCALM,15-JUL-95 15:29:00,EST,15-JUL-95 15:29:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1995,7
269,199504,18,2045,199504,18,2045,10331676,MICHIGAN,1995,Hail,C,119,MONTMORENCY,18-APR-95 20:45:00,EST,18-APR-95 20:45:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1995,4
270,199507,13,1452,199507,13,1452,10331677,MICHIGAN,1995,Thunderstorm Wind,C,119,MONTMORENCY,13-JUL-95 14:52:00,EDT,13-JUL-95 14:52:00,0,0,0,0,0,0,50.0,0.0,0,0,0,1995,7
279,199507,15,1535,199507,15,1535,10331669,MICHIGAN,1995,Thunderstorm Wind,C,117,MONTCALM,15-JUL-95 15:35:00,EST,15-JUL-95 15:35:00,0,0,0,0,.1M,0,62.0,0.0,0,0,0,1995,7
280,199507,15,1606,199507,15,1606,10331670,MICHIGAN,1995,Hail,C,117,MONTCALM,15-JUL-95 16:06:00,EST,15-JUL-95 16:06:00,0,0,0,0,0,0,0.75,0.0,0,2,0,1995,7
282,199507,13,1455,199507,13,1455,10331678,MICHIGAN,1995,Hail,C,119,MONTMORENCY,13-JUL-95 14:55:00,EDT,13-JUL-95 14:55:00,0,0,0,0,0,0,1.0,0.0,0,2,0,1995,7
283,199507,13,1500,199507,13,1500,10331679,MICHIGAN,1995,Hail,C,119,MONTMORENCY,13-JUL-95 15:00:00,EDT,13-JUL-95 15:00:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1995,7
284,199507,13,1541,199507,13,1541,10331680,MICHIGAN,1995,Thunderstorm Wind,C,119,MONTMORENCY,13-JUL-95 15:41:00,EDT,13-JUL-95 15:41:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1995,7
477,199507,14,1900,199507,14,1900,10328944,MICHIGAN,1995,Thunderstorm Wind,C,43,DICKINSON,14-JUL-95 19:00:00,EST,14-JUL-95 19:00:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1995,7
