,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
64,200601,21,500,200601,21,800,1202433,5482729,MICHIGAN,2006,Heavy Snow,Z,53,SAGINAW,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
99,200601,24,600,200601,25,100,1203751,5486361,MICHIGAN,2006,Winter Storm,Z,2,ONTONAGON,MQT,24-JAN-06 06:00:00,EST,25-JAN-06 01:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
124,200601,21,500,200601,21,800,1202433,5482730,MICHIGAN,2006,Heavy Snow,Z,54,TUSCOLA,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
125,200601,20,2300,200601,21,800,1202434,5482731,MICHIGAN,2006,Winter Storm,Z,62,LAPEER,DTX,20-JAN-06 23:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
126,200601,20,2300,200601,21,800,1202434,5482732,MICHIGAN,2006,Winter Storm,Z,61,GENESEE,DTX,20-JAN-06 23:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
166,200601,24,500,200601,25,0,1203751,5486362,MICHIGAN,2006,Winter Storm,Z,9,GOGEBIC,MQT,24-JAN-06 05:00:00,CST,25-JAN-06 00:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
167,200601,24,700,200601,25,100,1203751,5486363,MICHIGAN,2006,Winter Storm,Z,6,ALGER,MQT,24-JAN-06 07:00:00,EST,25-JAN-06 01:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
168,200601,24,800,200601,25,100,1203751,5486364,MICHIGAN,2006,Winter Storm,Z,85,NORTHERN SCHOOLCRAFT,MQT,24-JAN-06 08:00:00,EST,25-JAN-06 01:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
169,200601,24,600,200601,25,100,1203751,5486365,MICHIGAN,2006,Winter Storm,Z,4,BARAGA,MQT,24-JAN-06 06:00:00,EST,25-JAN-06 01:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
533,200601,24,600,200601,25,100,1203751,5486366,MICHIGAN,2006,Winter Storm,Z,84,SOUTHERN HOUGHTON,MQT,24-JAN-06 06:00:00,EST,25-JAN-06 01:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
534,200601,24,600,200601,25,100,1203751,5486367,MICHIGAN,2006,Winter Storm,Z,5,MARQUETTE,MQT,24-JAN-06 06:00:00,EST,25-JAN-06 01:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
729,200601,21,500,200601,21,800,1202435,5482733,MICHIGAN,2006,Winter Storm,Z,60,SHIAWASSEE,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
730,200601,21,500,200601,21,800,1202435,5482734,MICHIGAN,2006,Winter Storm,Z,55,SANILAC,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
740,200601,21,500,200601,21,800,1202433,5482727,MICHIGAN,2006,Heavy Snow,Z,48,BAY,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
741,200601,21,500,200601,21,800,1202433,5482728,MICHIGAN,2006,Heavy Snow,Z,49,HURON,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
771,200601,21,500,200601,21,800,1202433,5482726,MICHIGAN,2006,Heavy Snow,Z,47,MIDLAND,DTX,21-JAN-06 05:00:00,EST,21-JAN-06 08:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
932,200603,2,800,200603,2,1600,1204892,5490516,MICHIGAN,2006,Winter Storm,Z,54,TUSCOLA,DTX,02-MAR-06 08:00:00,EST,02-MAR-06 16:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
997,200603,13,1400,200603,14,300,1204893,5490521,MICHIGAN,2006,High Wind,Z,69,OAKLAND,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,2,0,1,0,TRAINED SPOTTER,2006,3
1088,200603,31,1943,200603,31,1943,1204901,5490888,MICHIGAN,2006,Thunderstorm Wind,C,99,MACOMB,DTX,31-MAR-06 19:43:00,EST,31-MAR-06 19:43:00,0,0,0,0,TRAINED SPOTTER,2006,3
1120,200603,2,800,200603,2,1600,1204892,5490515,MICHIGAN,2006,Winter Storm,Z,49,HURON,DTX,02-MAR-06 08:00:00,EST,02-MAR-06 16:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1127,200602,16,0,200602,16,2359,1203373,5487364,MICHIGAN,2006,Ice Storm,Z,40,CLARE,GRR,16-FEB-06 00:00:00,EST,16-FEB-06 23:59:00,0,0,0,0,NWS STORM SURVEY,2006,2
1170,200603,13,1400,200603,14,300,1204893,5490518,MICHIGAN,2006,High Wind,Z,82,LENAWEE,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1171,200603,2,800,200603,2,1600,1204892,5490517,MICHIGAN,2006,Winter Storm,Z,55,SANILAC,DTX,02-MAR-06 08:00:00,EST,02-MAR-06 16:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1213,200602,16,0,200602,16,2359,1203373,5487365,MICHIGAN,2006,Ice Storm,Z,43,OCEANA,GRR,16-FEB-06 00:00:00,EST,16-FEB-06 23:59:00,0,0,0,0,NWS STORM SURVEY,2006,2
1249,200603,13,1400,200603,14,300,1204893,5490519,MICHIGAN,2006,High Wind,Z,48,BAY,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1262,200603,13,1400,200603,14,300,1204893,5490523,MICHIGAN,2006,High Wind,Z,53,SAGINAW,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1284,200601,20,1900,200601,21,700,1203055,5488095,MICHIGAN,2006,Heavy Snow,Z,37,MASON,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1285,200601,20,1900,200601,21,700,1203055,5488096,MICHIGAN,2006,Heavy Snow,Z,38,LAKE,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1286,200601,20,1900,200601,21,700,1203055,5488097,MICHIGAN,2006,Heavy Snow,Z,39,OSCEOLA,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1293,200602,16,0,200602,16,2359,1203373,5487373,MICHIGAN,2006,Ice Storm,Z,58,IONIA,GRR,16-FEB-06 00:00:00,EST,16-FEB-06 23:59:00,0,0,0,0,NWS STORM SURVEY,2006,2
1331,200603,13,1400,200603,14,300,1204893,5490525,MICHIGAN,2006,High Wind,Z,62,LAPEER,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1333,200603,13,1400,200603,14,300,1204893,5490522,MICHIGAN,2006,High Wind,Z,49,HURON,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1335,200601,20,1900,200601,21,700,1203055,5488181,MICHIGAN,2006,Heavy Snow,Z,56,OTTAWA,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1336,200601,20,1900,200601,21,700,1203055,5488182,MICHIGAN,2006,Heavy Snow,Z,57,KENT,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1337,200601,20,1900,200601,21,700,1203055,5488183,MICHIGAN,2006,Heavy Snow,Z,51,MONTCALM,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1385,200603,31,1940,200603,31,1940,1204901,5490889,MICHIGAN,2006,Thunderstorm Wind,C,125,OAKLAND,DTX,31-MAR-06 19:40:00,EST,31-MAR-06 19:40:00,0,0,0,0,TRAINED SPOTTER,2006,3
1405,200601,20,1900,200601,21,700,1203055,5488184,MICHIGAN,2006,Heavy Snow,Z,52,GRATIOT,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1406,200601,20,1900,200601,21,700,1203055,5488185,MICHIGAN,2006,Heavy Snow,Z,58,IONIA,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1407,200601,20,1900,200601,21,700,1203055,5488186,MICHIGAN,2006,Heavy Snow,Z,59,CLINTON,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1459,200603,31,1935,200603,31,1935,1204901,5490890,MICHIGAN,2006,Thunderstorm Wind,C,115,MONROE,DTX,31-MAR-06 19:35:00,EST,31-MAR-06 19:35:00,0,0,0,0,LAW ENFORCEMENT,2006,3
1460,200603,31,2000,200603,31,2000,1204901,5490887,MICHIGAN,2006,Thunderstorm Wind,C,163,WAYNE,DTX,31-MAR-06 20:00:00,EST,31-MAR-06 20:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1524,200603,13,1400,200603,14,300,1204893,5490520,MICHIGAN,2006,High Wind,Z,61,GENESEE,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
1588,200603,31,1935,200603,31,1935,1204901,5490884,MICHIGAN,2006,Thunderstorm Wind,C,115,MONROE,DTX,31-MAR-06 19:35:00,EST,31-MAR-06 19:35:00,0,0,0,0,LAW ENFORCEMENT,2006,3
1612,200601,20,1900,200601,21,700,1203055,5488180,MICHIGAN,2006,Heavy Snow,Z,50,MUSKEGON,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1853,200601,20,1900,200601,21,700,1203055,5488102,MICHIGAN,2006,Heavy Snow,Z,46,ISABELLA,GRR,20-JAN-06 19:00:00,EST,21-JAN-06 07:00:00,0,0,0,0,NWS STORM SURVEY,2006,1
1939,200602,16,0,200602,16,2359,1203373,5487368,MICHIGAN,2006,Ice Storm,Z,46,ISABELLA,GRR,16-FEB-06 00:00:00,EST,16-FEB-06 23:59:00,0,0,0,0,NWS STORM SURVEY,2006,2
1940,200602,16,0,200602,16,2359,1203373,5487369,MICHIGAN,2006,Ice Storm,Z,51,MONTCALM,GRR,16-FEB-06 00:00:00,EST,16-FEB-06 23:59:00,0,0,0,0,NWS STORM SURVEY,2006,2
1941,200602,16,0,200602,16,2359,1203373,5487370,MICHIGAN,2006,Ice Storm,Z,52,GRATIOT,GRR,16-FEB-06 00:00:00,EST,16-FEB-06 23:59:00,0,0,0,0,NWS STORM SURVEY,2006,2
2015,200603,2,800,200603,2,1600,1204892,5489893,MICHIGAN,2006,Winter Storm,Z,53,SAGINAW,DTX,02-MAR-06 08:00:00,EST,02-MAR-06 16:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
2056,200602,16,1943,200602,16,1943,1204907,5491249,MICHIGAN,2006,Thunderstorm Wind,C,49,GENESEE,DTX,16-FEB-06 19:43:00,EST,16-FEB-06 19:43:00,0,0,0,0,TRAINED SPOTTER,2006,2
2076,200602,5,0,200602,5,1100,1204693,5491107,MICHIGAN,2006,Winter Storm,Z,55,SANILAC,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2095,200602,5,600,200602,5,1030,1204249,5492621,MICHIGAN,2006,Winter Storm,Z,29,OSCODA,APX,05-FEB-06 06:00:00,EST,05-FEB-06 10:30:00,0,0,0,0,TRAINED SPOTTER,2006,2
2174,200602,5,0,200602,5,1100,1204693,5491109,MICHIGAN,2006,Winter Storm,Z,68,LIVINGSTON,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2175,200602,5,0,200602,5,1100,1204693,5491110,MICHIGAN,2006,Winter Storm,Z,62,LAPEER,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2208,200602,5,800,200602,5,1030,1204249,5492622,MICHIGAN,2006,Winter Storm,Z,36,IOSCO,APX,05-FEB-06 08:00:00,EST,05-FEB-06 10:30:00,0,0,0,0,TRAINED SPOTTER,2006,2
2209,200602,16,1345,200602,17,1400,1204250,5492644,MICHIGAN,2006,Winter Storm,Z,26,GRAND TRAVERSE,APX,16-FEB-06 13:45:00,EST,17-FEB-06 14:00:00,0,0,0,0,BROADCAST MEDIA,2006,2
2243,200602,16,1415,200602,17,1400,1204250,5492639,MICHIGAN,2006,Winter Storm,Z,21,ANTRIM,APX,16-FEB-06 14:15:00,EST,17-FEB-06 14:00:00,0,0,0,0,NWS EMPLOYEE(OFF DUTY),2006,2
2285,200602,16,1515,200602,16,2000,1204250,5492655,MICHIGAN,2006,Winter Storm,Z,41,GLADWIN,APX,16-FEB-06 15:15:00,EST,16-FEB-06 20:00:00,0,0,0,0,GENERAL PUBLIC,2006,2
2288,200602,5,0,200602,5,1100,1204693,5491108,MICHIGAN,2006,Winter Storm,Z,54,TUSCOLA,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2462,200602,5,530,200602,6,1400,1204249,5492625,MICHIGAN,2006,Winter Storm,Z,22,OTSEGO,APX,05-FEB-06 05:30:00,EST,06-FEB-06 14:00:00,0,0,0,0,OFFICIAL NWS OBS.,2006,2
2463,200602,5,600,200602,6,1400,1204249,5492626,MICHIGAN,2006,Winter Storm,Z,28,CRAWFORD,APX,05-FEB-06 06:00:00,EST,06-FEB-06 14:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2469,200602,5,400,200602,5,1400,1204249,5492583,MICHIGAN,2006,Winter Storm,Z,24,ALPENA,APX,05-FEB-06 04:00:00,EST,05-FEB-06 14:00:00,0,0,0,0,OFFICIAL NWS OBS.,2006,2
2470,200602,5,600,200602,5,1030,1204249,5492584,MICHIGAN,2006,Winter Storm,Z,30,ALCONA,APX,05-FEB-06 06:00:00,EST,05-FEB-06 10:30:00,0,0,0,0,TRAINED SPOTTER,2006,2
2499,200604,22,1955,200604,22,1955,1205217,5494932,MICHIGAN,2006,Hail,C,65,INGHAM,GRR,22-APR-06 19:55:00,EST,22-APR-06 19:55:00,0,0,0,0,LAW ENFORCEMENT,2006,4
2500,200604,22,1957,200604,22,1957,1205217,5494933,MICHIGAN,2006,Hail,C,65,INGHAM,GRR,22-APR-06 19:57:00,EST,22-APR-06 19:57:00,0,0,0,0,TRAINED SPOTTER,2006,4
2501,200604,14,200,200604,14,200,1205218,5494934,MICHIGAN,2006,Hail,C,121,MUSKEGON,GRR,14-APR-06 02:00:00,EST,14-APR-06 02:00:00,0,0,0,0,BROADCAST MEDIA,2006,4
2539,200602,16,1600,200602,16,2200,1204694,5491115,MICHIGAN,2006,Ice Storm,Z,48,BAY,DTX,16-FEB-06 16:00:00,EST,16-FEB-06 22:00:00,0,0,0,0,BROADCAST MEDIA,2006,2
2551,200602,16,1300,200602,17,1400,1204250,5492643,MICHIGAN,2006,Winter Storm,Z,25,BENZIE,APX,16-FEB-06 13:00:00,EST,17-FEB-06 14:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2552,200602,25,400,200602,25,530,1204251,5492664,MICHIGAN,2006,Heavy Snow,Z,23,MONTMORENCY,APX,25-FEB-06 04:00:00,EST,25-FEB-06 05:30:00,0,0,0,0,TRAINED SPOTTER,2006,2
2614,200602,16,1300,200602,17,1400,1204250,5492638,MICHIGAN,2006,Winter Storm,Z,20,LEELANAU,APX,16-FEB-06 13:00:00,EST,17-FEB-06 14:00:00,0,0,0,0,LAW ENFORCEMENT,2006,2
