,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
2635,200604,22,1346,200604,22,1346,1205219,5494935,MICHIGAN,2006,Hail,C,123,NEWAYGO,GRR,22-APR-06 13:46:00,EST,22-APR-06 13:46:00,0,0,0,0,GENERAL PUBLIC,2006,4
2636,200604,22,1435,200604,22,1435,1205219,5494936,MICHIGAN,2006,Hail,C,117,MONTCALM,GRR,22-APR-06 14:35:00,EST,22-APR-06 14:35:00,0,0,0,0,EMERGENCY MANAGER,2006,4
2717,200602,5,800,200602,5,1030,1204249,5492623,MICHIGAN,2006,Winter Storm,Z,42,ARENAC,APX,05-FEB-06 08:00:00,EST,05-FEB-06 10:30:00,0,0,0,0,LAW ENFORCEMENT,2006,2
2778,200602,16,1600,200602,16,2200,1204694,5491116,MICHIGAN,2006,Ice Storm,Z,47,MIDLAND,DTX,16-FEB-06 16:00:00,EST,16-FEB-06 22:00:00,0,0,0,0,BROADCAST MEDIA,2006,2
2860,200602,5,530,200602,6,1400,1204249,5492628,MICHIGAN,2006,Winter Storm,Z,19,CHARLEVOIX,APX,05-FEB-06 05:30:00,EST,06-FEB-06 14:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2888,200602,5,0,200602,5,1100,1204693,5491113,MICHIGAN,2006,Winter Storm,Z,69,OAKLAND,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2900,200602,16,1530,200602,17,1400,1204250,5492641,MICHIGAN,2006,Winter Storm,Z,23,MONTMORENCY,APX,16-FEB-06 15:30:00,EST,17-FEB-06 14:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2934,200602,5,530,200602,5,1030,1204249,5492624,MICHIGAN,2006,Winter Storm,Z,17,CHEBOYGAN,APX,05-FEB-06 05:30:00,EST,05-FEB-06 10:30:00,0,0,0,0,TRAINED SPOTTER,2006,2
2988,200602,5,0,200602,5,1100,1204693,5491114,MICHIGAN,2006,Winter Storm,Z,70,MACOMB,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
2989,200602,5,0,200602,5,1100,1204693,5491112,MICHIGAN,2006,Winter Storm,Z,63,ST. CLAIR,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
3018,200602,16,1415,200602,17,1400,1204250,5492645,MICHIGAN,2006,Winter Storm,Z,27,KALKASKA,APX,16-FEB-06 14:15:00,EST,17-FEB-06 14:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
3039,200602,5,600,200602,5,1400,1204249,5492585,MICHIGAN,2006,Winter Storm,Z,23,MONTMORENCY,APX,05-FEB-06 06:00:00,EST,05-FEB-06 14:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
3073,200602,5,0,200602,5,1100,1204693,5491111,MICHIGAN,2006,Winter Storm,Z,61,GENESEE,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
3234,200602,16,1600,200602,16,2200,1204694,5491117,MICHIGAN,2006,Ice Storm,Z,53,SAGINAW,DTX,16-FEB-06 16:00:00,EST,16-FEB-06 22:00:00,0,0,0,0,BROADCAST MEDIA,2006,2
3258,200602,17,800,200602,17,1800,1204695,5491192,MICHIGAN,2006,Flood,C,99,MACOMB,DTX,17-FEB-06 08:00:00,EST,17-FEB-06 18:00:00,0,0,0,0,NEWSPAPER,2006,2
3269,200602,5,0,200602,5,1100,1204693,5491106,MICHIGAN,2006,Winter Storm,Z,49,HURON,DTX,05-FEB-06 00:00:00,EST,05-FEB-06 11:00:00,0,0,0,0,TRAINED SPOTTER,2006,2
3460,200603,31,1744,200603,31,1744,1204901,5490547,MICHIGAN,2006,Hail,C,145,SAGINAW,DTX,31-MAR-06 17:44:00,EST,31-MAR-06 17:44:00,0,0,0,0,TRAINED SPOTTER,2006,3
3575,200603,31,1741,200603,31,1751,1204901,5490542,MICHIGAN,2006,Hail,C,49,GENESEE,DTX,31-MAR-06 17:41:00,EST,31-MAR-06 17:51:00,0,0,0,0,TRAINED SPOTTER,2006,3
3576,200603,31,1808,200603,31,1808,1204901,5490543,MICHIGAN,2006,Hail,C,157,TUSCOLA,DTX,31-MAR-06 18:08:00,EST,31-MAR-06 18:08:00,0,0,0,0,GENERAL PUBLIC,2006,3
3577,200603,31,1745,200603,31,1745,1204901,5490548,MICHIGAN,2006,Hail,C,145,SAGINAW,DTX,31-MAR-06 17:45:00,EST,31-MAR-06 17:45:00,0,0,0,0,TRAINED SPOTTER,2006,3
3578,200603,31,1800,200603,31,1800,1204901,5490549,MICHIGAN,2006,Hail,C,49,GENESEE,DTX,31-MAR-06 18:00:00,EST,31-MAR-06 18:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
3579,200603,31,1750,200603,31,1800,1204901,5490550,MICHIGAN,2006,Hail,C,49,GENESEE,DTX,31-MAR-06 17:50:00,EST,31-MAR-06 18:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
3723,200603,31,1940,200603,31,1943,1204901,5490870,MICHIGAN,2006,Hail,C,99,MACOMB,DTX,31-MAR-06 19:40:00,EST,31-MAR-06 19:43:00,0,0,0,0,TRAINED SPOTTER,2006,3
3730,200603,31,1813,200603,31,1813,1204901,5490868,MICHIGAN,2006,Hail,C,125,OAKLAND,DTX,31-MAR-06 18:13:00,EST,31-MAR-06 18:13:00,0,0,0,0,TRAINED SPOTTER,2006,3
3734,200603,31,1935,200603,31,1935,1204901,5490871,MICHIGAN,2006,Hail,C,125,OAKLAND,DTX,31-MAR-06 19:35:00,EST,31-MAR-06 19:35:00,0,0,0,0,TRAINED SPOTTER,2006,3
3735,200603,31,1913,200603,31,1913,1204901,5490872,MICHIGAN,2006,Hail,C,163,WAYNE,DTX,31-MAR-06 19:13:00,EST,31-MAR-06 19:13:00,0,0,0,0,TRAINED SPOTTER,2006,3
3736,200603,31,1915,200603,31,1915,1204901,5490873,MICHIGAN,2006,Hail,C,161,WASHTENAW,DTX,31-MAR-06 19:15:00,EST,31-MAR-06 19:15:00,0,0,0,0,TRAINED SPOTTER,2006,3
3743,200603,31,1908,200603,31,1910,1204901,5490869,MICHIGAN,2006,Hail,C,161,WASHTENAW,DTX,31-MAR-06 19:08:00,EST,31-MAR-06 19:10:00,0,0,0,0,TRAINED SPOTTER,2006,3
3815,200611,2,330,200611,3,1300,745,3293,MICHIGAN,2006,Lake-Effect Snow,Z,22,OTSEGO,APX,02-NOV-06 03:30:00,EST-5,03-NOV-06 13:00:00,0,0,0,0,NWS Employee,2006,1
3816,200611,1,2200,200611,3,1300,745,3294,MICHIGAN,2006,Lake-Effect Snow,Z,8,CHIPPEWA,APX,01-NOV-06 22:00:00,EST-5,03-NOV-06 13:00:00,0,0,0,0,Department of Highways,2006,1
3887,200603,13,513,200603,13,513,1204891,5489798,MICHIGAN,2006,Thunderstorm Wind,C,161,WASHTENAW,DTX,13-MAR-06 05:13:00,EST,13-MAR-06 05:13:00,0,0,0,0,TRAINED SPOTTER,2006,3
3888,200603,2,800,200603,2,1600,1204892,5489799,MICHIGAN,2006,Winter Storm,Z,47,MIDLAND,DTX,02-MAR-06 08:00:00,EST,02-MAR-06 16:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
3909,200603,31,1702,200603,31,1702,1204901,5490540,MICHIGAN,2006,Hail,C,145,SAGINAW,DTX,31-MAR-06 17:02:00,EST,31-MAR-06 17:02:00,0,0,0,0,TRAINED SPOTTER,2006,3
3910,200603,31,1710,200603,31,1710,1204901,5490541,MICHIGAN,2006,Hail,C,17,BAY,DTX,31-MAR-06 17:10:00,EST,31-MAR-06 17:10:00,0,0,0,0,TRAINED SPOTTER,2006,3
4056,200602,16,1940,200602,16,1940,1204907,5491248,MICHIGAN,2006,Thunderstorm Wind,C,49,GENESEE,DTX,16-FEB-06 19:40:00,EST,16-FEB-06 19:40:00,0,0,0,0,TRAINED SPOTTER,2006,2
4094,200603,13,1400,200603,14,300,1204893,5490528,MICHIGAN,2006,High Wind,Z,47,MIDLAND,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
4095,200603,13,1400,200603,14,300,1204893,5490529,MICHIGAN,2006,High Wind,Z,76,WAYNE,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
4096,200603,12,139,200603,12,139,1204894,5490530,MICHIGAN,2006,Lightning,C,91,LENAWEE,DTX,12-MAR-06 01:39:00,EST,12-MAR-06 01:39:00,0,0,0,0,NEWSPAPER,2006,3
4234,200603,31,1932,200603,31,1932,1204901,5490892,MICHIGAN,2006,Thunderstorm Wind,C,125,OAKLAND,DTX,31-MAR-06 19:32:00,EST,31-MAR-06 19:32:00,0,0,0,0,TRAINED SPOTTER,2006,3
4235,200603,13,400,200603,14,1600,1204902,5490893,MICHIGAN,2006,Flood,C,157,TUSCOLA,DTX,13-MAR-06 04:00:00,EST,14-MAR-06 16:00:00,0,0,0,0,NEWSPAPER,2006,3
4236,200603,11,600,200603,12,600,1204903,5490894,MICHIGAN,2006,Flood,C,157,TUSCOLA,DTX,11-MAR-06 06:00:00,EST,12-MAR-06 06:00:00,0,0,0,0,EMERGENCY MANAGER,2006,3
4237,200603,31,1922,200603,31,1922,1204901,5490891,MICHIGAN,2006,Thunderstorm Wind,C,91,LENAWEE,DTX,31-MAR-06 19:22:00,EST,31-MAR-06 19:22:00,0,0,0,0,LAW ENFORCEMENT,2006,3
4238,200603,13,2000,200603,14,2000,1204904,5490895,MICHIGAN,2006,Flood,C,145,SAGINAW,DTX,13-MAR-06 20:00:00,EST,14-MAR-06 20:00:00,0,0,0,0,NEWSPAPER,2006,3
4332,200603,13,1400,200603,14,300,1204893,5490526,MICHIGAN,2006,High Wind,Z,63,ST. CLAIR,DTX,13-MAR-06 14:00:00,EST,14-MAR-06 03:00:00,0,0,0,0,TRAINED SPOTTER,2006,3
4382,200601,21,400,200601,21,600,1203412,5489254,MICHIGAN,2006,Heavy Snow,Z,77,BERRIEN,IWX,21-JAN-06 04:00:00,EST,21-JAN-06 06:00:00,0,0,0,0,TRAINED SPOTTER,2006,1
4403,200603,13,936,200603,13,936,1204879,5489701,MICHIGAN,2006,Hail,C,77,KALAMAZOO,GRR,13-MAR-06 09:36:00,EST,13-MAR-06 09:36:00,0,0,0,0,GENERAL PUBLIC,2006,3
4404,200603,31,1724,200603,31,1728,1204880,5489702,MICHIGAN,2006,Hail,C,25,CALHOUN,GRR,31-MAR-06 17:24:00,EST,31-MAR-06 17:28:00,0,0,0,0,EMERGENCY MANAGER,2006,3
