,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
363,199602,1,0,199602,6,1200,2404587,5537599,MICHIGAN,1996,Cold/Wind Chill,Z,76,WAYNE,DTX,01-FEB-96 00:00:00,EST,06-FEB-96 12:00:00,0,0,1,0,1996,2
364,199602,1,0,199602,6,1200,2404587,5537600,MICHIGAN,1996,Cold/Wind Chill,Z,82,LENAWEE,DTX,01-FEB-96 00:00:00,EST,06-FEB-96 12:00:00,0,0,0,0,1996,2
365,199602,1,0,199602,6,1200,2404587,5537601,MICHIGAN,1996,Cold/Wind Chill,Z,83,MONROE,DTX,01-FEB-96 00:00:00,EST,06-FEB-96 12:00:00,0,0,0,0,1996,2
679,199601,18,0,199601,20,800,2054715,5575389,MICHIGAN,1996,Winter Storm,Z,12,MENOMINEE,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
680,199601,18,0,199601,20,800,2054715,5575390,MICHIGAN,1996,Winter Storm,Z,13,DELTA,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
681,199601,18,0,199601,20,800,2054715,5575391,MICHIGAN,1996,Winter Storm,Z,14,SOUTHERN SCHOOLCRAFT,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
800,199601,26,2000,199601,27,2000,2054716,5575400,MICHIGAN,1996,Heavy Snow,Z,10,IRON,MQT,26-JAN-96 20:00:00,EST,27-JAN-96 20:00:00,0,0,0,0,1996,1
885,199601,18,0,199601,20,800,2054715,5575380,MICHIGAN,1996,Winter Storm,Z,2,ONTONAGON,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
886,199601,18,0,199601,20,800,2054715,5575381,MICHIGAN,1996,Winter Storm,Z,3,NORTHERN HOUGHTON,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
887,199601,18,0,199601,20,800,2054715,5575382,MICHIGAN,1996,Winter Storm,Z,4,BARAGA,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
888,199601,18,0,199601,20,800,2054715,5575383,MICHIGAN,1996,Winter Storm,Z,5,MARQUETTE,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
889,199601,18,0,199601,20,800,2054715,5575384,MICHIGAN,1996,Winter Storm,Z,6,ALGER,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
890,199601,18,0,199601,20,800,2054715,5575385,MICHIGAN,1996,Winter Storm,Z,7,LUCE,MQT,18-JAN-96 00:00:00,EST,20-JAN-96 08:00:00,0,0,0,0,1996,1
1203,199601,29,600,199601,31,600,2054717,5575412,MICHIGAN,1996,Blizzard,Z,9,GOGEBIC,MQT,29-JAN-96 06:00:00,EST,31-JAN-96 06:00:00,0,0,0,0,1996,1
1308,199601,26,2000,199601,27,2000,2054716,5575395,MICHIGAN,1996,Heavy Snow,Z,4,BARAGA,MQT,26-JAN-96 20:00:00,EST,27-JAN-96 20:00:00,0,0,0,0,1996,1
