,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
30721,200005,9,1953,200005,9,2005,1094970,5144436,MICHIGAN,2000,Thunderstorm Wind,C,125,OAKLAND,DTX,09-MAY-00 19:53:00,EST,09-MAY-00 20:05:00,0,0,0,0,OFFICIAL NWS OBS.,2000,5
30722,200005,9,1953,200005,9,1953,1094970,5144437,MICHIGAN,2000,Hail,C,125,OAKLAND,DTX,09-MAY-00 19:53:00,EST,09-MAY-00 19:53:00,0,0,0,0,TRAINED SPOTTER,2000,5
30723,200005,9,2001,200005,9,2015,1094970,5144438,MICHIGAN,2000,Thunderstorm Wind,C,125,OAKLAND,DTX,09-MAY-00 20:01:00,EST,09-MAY-00 20:15:00,0,0,0,0,NEWSPAPER,2000,5
30724,200005,9,2010,200005,9,2016,1094970,5144439,MICHIGAN,2000,Thunderstorm Wind,C,125,OAKLAND,DTX,09-MAY-00 20:10:00,EST,09-MAY-00 20:16:00,0,0,0,0,NWS EMPLOYEE(OFF DUTY),2000,5
30725,200005,9,2047,200005,9,2047,1094970,5144440,MICHIGAN,2000,Thunderstorm Wind,C,147,ST. CLAIR,DTX,09-MAY-00 20:47:00,EST,09-MAY-00 20:47:00,0,0,0,0,LAW ENFORCEMENT,2000,5
30726,200005,9,1906,200005,9,1919,1094970,5144441,MICHIGAN,2000,Hail,C,161,WASHTENAW,DTX,09-MAY-00 19:06:00,EST,09-MAY-00 19:19:00,0,0,0,0,TRAINED SPOTTER,2000,5
30727,200005,9,1924,200005,9,1938,1094970,5144442,MICHIGAN,2000,Thunderstorm Wind,C,161,WASHTENAW,DTX,09-MAY-00 19:24:00,EST,09-MAY-00 19:38:00,0,0,0,0,NWS EMPLOYEE(OFF DUTY),2000,5
30728,200005,9,1940,200005,9,1940,1094970,5144443,MICHIGAN,2000,Thunderstorm Wind,C,161,WASHTENAW,DTX,09-MAY-00 19:40:00,EST,09-MAY-00 19:40:00,0,0,0,0,NEWSPAPER,2000,5
30729,200005,9,1926,200005,9,1926,1094970,5144444,MICHIGAN,2000,Thunderstorm Wind,C,161,WASHTENAW,DTX,09-MAY-00 19:26:00,EST,09-MAY-00 19:26:00,0,0,0,0,TRAINED SPOTTER,2000,5
30730,200005,9,1835,200005,9,1846,1094970,5144445,MICHIGAN,2000,Hail,C,163,WAYNE,DTX,09-MAY-00 18:35:00,EST,09-MAY-00 18:46:00,0,0,0,0,TRAINED SPOTTER,2000,5
30731,200005,9,1905,200005,9,1905,1094970,5144446,MICHIGAN,2000,Hail,C,163,WAYNE,DTX,09-MAY-00 19:05:00,EST,09-MAY-00 19:05:00,0,0,0,0,BROADCAST MEDIA,2000,5
30732,200005,9,1933,200005,9,1937,1094970,5144447,MICHIGAN,2000,Hail,C,163,WAYNE,DTX,09-MAY-00 19:33:00,EST,09-MAY-00 19:37:00,0,0,0,0,LAW ENFORCEMENT,2000,5
30733,200005,9,1933,200005,9,1945,1094970,5144448,MICHIGAN,2000,Thunderstorm Wind,C,163,WAYNE,DTX,09-MAY-00 19:33:00,EST,09-MAY-00 19:45:00,0,0,0,0,NEWSPAPER,2000,5
30734,200005,9,1945,200005,9,2000,1094970,5144449,MICHIGAN,2000,Thunderstorm Wind,C,163,WAYNE,DTX,09-MAY-00 19:45:00,EST,09-MAY-00 20:00:00,0,0,0,0,NEWSPAPER,2000,5
