,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
1,199901,2,700,199901,2,2359,1500622,5683477,MICHIGAN,1999,Blizzard,Z,43,OCEANA,GRR,02-JAN-99 07:00:00,EST,02-JAN-99 23:59:00,0,0,0,0,1999,1
87,199901,2,700,199901,2,2359,1500622,5683476,MICHIGAN,1999,Blizzard,Z,44,NEWAYGO,GRR,02-JAN-99 07:00:00,EST,02-JAN-99 23:59:00,0,0,0,0,1999,1
316,199907,23,1722,199907,23,1722,2410934,5708643,MICHIGAN,1999,Thunderstorm Wind,C,107,MECOSTA,GRR,23-JUL-99 17:22:00,EST,23-JUL-99 17:22:00,0,0,0,0,1999,7
317,199907,23,1140,199907,23,1140,2410934,5708636,MICHIGAN,1999,Thunderstorm Wind,C,107,MECOSTA,GRR,23-JUL-99 11:40:00,EST,23-JUL-99 11:40:00,0,0,0,0,1999,7
318,199907,23,1045,199907,23,1045,2410934,5708635,MICHIGAN,1999,Thunderstorm Wind,C,85,LAKE,GRR,23-JUL-99 10:45:00,EST,23-JUL-99 10:45:00,0,0,0,0,1999,7
320,199907,23,1345,199907,23,1345,2410934,5708641,MICHIGAN,1999,Hail,C,45,EATON,GRR,23-JUL-99 13:45:00,EST,23-JUL-99 13:45:00,0,0,0,0,1999,7
385,199912,27,2100,199912,28,900,2413142,5720983,MICHIGAN,1999,Heavy Snow,Z,26,GRAND TRAVERSE,APX,27-DEC-99 21:00:00,EST,28-DEC-99 09:00:00,0,0,0,0,1999,2
390,199912,27,2100,199912,28,900,2413142,5720984,MICHIGAN,1999,Heavy Snow,Z,31,MANISTEE,APX,27-DEC-99 21:00:00,EST,28-DEC-99 09:00:00,0,0,0,0,1999,2
1133,199907,23,958,199907,23,958,2408532,5700791,MICHIGAN,1999,Thunderstorm Wind,C,101,MANISTEE,APX,23-JUL-99 09:58:00,EST,23-JUL-99 09:58:00,0,0,0,0,1999,7
1143,199907,23,1022,199907,23,1022,2408532,5700792,MICHIGAN,1999,Thunderstorm Wind,C,101,MANISTEE,APX,23-JUL-99 10:22:00,EST,23-JUL-99 10:22:00,0,0,0,0,1999,7
1145,199907,23,1204,199907,23,1204,2408532,5700795,MICHIGAN,1999,Thunderstorm Wind,C,143,ROSCOMMON,APX,23-JUL-99 12:04:00,EST,23-JUL-99 12:04:00,0,0,0,0,1999,7
1216,199907,23,1125,199907,23,1125,2408532,5700796,MICHIGAN,1999,Thunderstorm Wind,C,165,WEXFORD,APX,23-JUL-99 11:25:00,EST,23-JUL-99 11:25:00,0,0,0,0,1999,7
1326,199902,11,1200,199902,11,2000,1501125,5684697,MICHIGAN,1999,Heat,Z,68,LIVINGSTON,DTX,11-FEB-99 12:00:00,EST,11-FEB-99 20:00:00,0,0,0,0,1999,2
1327,199902,11,1200,199902,11,2000,1501125,5684698,MICHIGAN,1999,Heat,Z,69,OAKLAND,DTX,11-FEB-99 12:00:00,EST,11-FEB-99 20:00:00,0,0,0,0,1999,2
1503,199901,4,0,199901,4,2000,1501962,5683584,MICHIGAN,1999,Winter Weather,Z,59,CLINTON,GRR,04-JAN-99 00:00:00,EST,04-JAN-99 20:00:00,0,0,0,0,1999,1
