,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
3129,199304,24,1705,199304,24,1705,10329201,MICHIGAN,1993,Thunderstorm Wind,C,137,OTSEGO,24-APR-93 17:05:00,EST,24-APR-93 17:05:00,0,0,0,0,0,0,0.0,0.0,0,10,0,1993,4
3130,199304,24,1730,199304,24,1730,10329202,MICHIGAN,1993,Hail,C,137,OTSEGO,24-APR-93 17:30:00,EST,24-APR-93 17:30:00,0,0,0,0,0,0,1.75,0.0,0,0,0,1993,4
3131,199304,24,1740,199304,24,1740,10329203,MICHIGAN,1993,Hail,C,137,OTSEGO,24-APR-93 17:40:00,EST,24-APR-93 17:40:00,0,0,0,0,0,0,1.0,0.0,0,3,0,1993,4
3135,199308,23,2105,199308,23,2105,10329189,MICHIGAN,1993,Thunderstorm Wind,C,67,IONIA,23-AUG-93 21:05:00,EST,23-AUG-93 21:05:00,0,0,0,0,0,0,52.0,0.0,0,2,0,1993,8
3136,199308,23,2135,199308,23,2135,10329190,MICHIGAN,1993,Thunderstorm Wind,C,67,IONIA,23-AUG-93 21:35:00,EST,23-AUG-93 21:35:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
3181,199304,15,1530,199304,15,1530,10329178,MICHIGAN,1993,Thunderstorm Wind,C,25,CALHOUN,15-APR-93 15:30:00,EST,15-APR-93 15:30:00,0,0,0,0,0,0,61.0,0.0,0,0,0,1993,4
3182,199304,15,1700,199304,15,1700,10329179,MICHIGAN,1993,Thunderstorm Wind,C,25,CALHOUN,15-APR-93 17:00:00,EST,15-APR-93 17:00:00,0,0,0,0,5K,0,69.0,0.0,0,1,0,1993,4
3183,199308,23,2135,199308,23,2135,10329180,MICHIGAN,1993,Thunderstorm Wind,C,25,CALHOUN,23-AUG-93 21:35:00,EST,23-AUG-93 21:35:00,0,0,0,0,0,0,52.0,0.0,0,0,0,1993,8
3260,199309,13,1045,199309,13,1045,10328955,MICHIGAN,1993,Hail,C,103,MARQUETTE,13-SEP-93 10:45:00,EST,13-SEP-93 10:45:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1993,9
3292,199308,30,2315,199308,30,2315,10329242,MICHIGAN,1993,Thunderstorm Wind,C,69,IOSCO,30-AUG-93 23:15:00,EST,30-AUG-93 23:15:00,0,0,0,0,0,0,0.0,0.0,0,5,0,1993,8
3373,199304,24,1740,199304,24,1740,10331519,MICHIGAN,1993,Thunderstorm Wind,C,135,OSCODA,24-APR-93 17:40:00,EST,24-APR-93 17:40:00,0,0,0,0,50K,0,90.0,0.0,0,3,0,1993,4
3374,199308,23,2113,199308,23,2113,10331523,MICHIGAN,1993,Thunderstorm Wind,C,159,VAN BUREN,23-AUG-93 21:13:00,EST,23-AUG-93 21:13:00,0,0,0,0,.5K,0,0.0,0.0,0,0,0,1993,8
3614,199304,20,825,199304,20,835,10329328,MICHIGAN,1993,Hail,C,77,KALAMAZOO,20-APR-93 08:25:00,EST,20-APR-93 08:35:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,4
6735,199308,30,2048,199308,30,2048,10329004,MICHIGAN,1993,Thunderstorm Wind,C,113,MISSAUKEE,30-AUG-93 20:48:00,EST,30-AUG-93 20:48:00,0,0,0,0,5K,0,0.0,0.0,0,7,0,1993,8
6736,199308,3,1640,199308,3,1640,10329008,MICHIGAN,1993,Hail,C,11,ARENAC,03-AUG-93 16:40:00,EST,03-AUG-93 16:40:00,0,0,0,0,0,0,0.88,0.0,0,5,0,1993,8
6737,199308,3,1910,199308,3,1910,10329009,MICHIGAN,1993,Hail,C,11,ARENAC,03-AUG-93 19:10:00,EST,03-AUG-93 19:10:00,0,0,0,0,0,0,0.75,0.0,0,2,0,1993,8
6738,199308,3,1910,199308,3,1910,10329010,MICHIGAN,1993,Thunderstorm Wind,C,11,ARENAC,03-AUG-93 19:10:00,EST,03-AUG-93 19:10:00,0,0,0,0,50K,0,0.0,0.0,0,1,4,1993,8
6911,199304,16,1606,199304,16,1606,10331496,MICHIGAN,1993,Thunderstorm Wind,C,149,ST. JOSEPH,16-APR-93 16:06:00,EST,16-APR-93 16:06:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,4
6912,199308,27,2010,199308,27,2010,10331499,MICHIGAN,1993,Thunderstorm Wind,C,157,TUSCOLA,27-AUG-93 20:10:00,EST,27-AUG-93 20:10:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
6935,199304,24,1740,199304,24,1740,10331537,MICHIGAN,1993,Tornado,C,135,OSCODA,24-APR-93 17:40:00,EST,24-APR-93 17:40:00,0,0,0,0,50K,0,0.0,0.1,10,3,0,1993,4
6936,199308,30,1730,199308,30,1730,10331538,MICHIGAN,1993,Thunderstorm Wind,C,135,OSCODA,30-AUG-93 17:30:00,EST,30-AUG-93 17:30:00,0,0,0,0,0,0,0.0,0.0,0,3,0,1993,8
6963,199308,23,2238,199308,23,2238,10331187,MICHIGAN,1993,Thunderstorm Wind,C,145,SAGINAW,23-AUG-93 22:38:00,EST,23-AUG-93 22:38:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
6970,199304,24,1620,199304,24,1620,10329116,MICHIGAN,1993,Hail,C,19,BENZIE,24-APR-93 16:20:00,EST,24-APR-93 16:20:00,0,0,0,0,0,0,0.75,0.0,0,2,0,1993,4
7170,199308,23,2227,199308,23,2227,10329003,MICHIGAN,1993,Thunderstorm Wind,C,111,MIDLAND,23-AUG-93 22:27:00,EST,23-AUG-93 22:27:00,0,0,0,0,5K,0,0.0,0.0,0,0,0,1993,8
7177,199304,24,1825,199304,24,1825,10331632,MICHIGAN,1993,Hail,C,117,MONTCALM,24-APR-93 18:25:00,EST,24-APR-93 18:25:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,4
7178,199304,24,1847,199304,24,1847,10331633,MICHIGAN,1993,Hail,C,117,MONTCALM,24-APR-93 18:47:00,EST,24-APR-93 18:47:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,4
7188,199304,15,1650,199304,15,1650,10329064,MICHIGAN,1993,Thunderstorm Wind,C,59,HILLSDALE,15-APR-93 16:50:00,EST,15-APR-93 16:50:00,0,0,0,0,0,0,52.0,0.0,0,2,0,1993,4
7235,199308,23,2015,199308,23,2015,10329499,MICHIGAN,1993,Thunderstorm Wind,C,5,ALLEGAN,23-AUG-93 20:15:00,EST,23-AUG-93 20:15:00,0,0,0,0,0,0,50.0,0.0,0,0,0,1993,8
7236,199308,23,2050,199308,23,2050,10329500,MICHIGAN,1993,Thunderstorm Wind,C,5,ALLEGAN,23-AUG-93 20:50:00,EST,23-AUG-93 20:50:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
7237,199308,23,2110,199308,23,2110,10329501,MICHIGAN,1993,Hail,C,5,ALLEGAN,23-AUG-93 21:10:00,EST,23-AUG-93 21:10:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
7506,199308,23,2130,199308,23,2130,10331596,MICHIGAN,1993,Thunderstorm Wind,C,141,PRESQUE ISLE,23-AUG-93 21:30:00,EST,23-AUG-93 21:30:00,0,0,0,0,0,0,0.0,0.0,0,18,0,1993,8
