,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,BEGIN_LAT,BEGIN_LON,Year,Month
45,199103,27,1720,199103,27,1720,10054181,MICHIGAN,1991,Hail,C,165,27-MAR-91 17:20:00,CST,27-MAR-91 17:20:00,0,0,0,0,0,0,1.75,0.0,0,0,0,44.25,-85.4,1991,3
48,199103,27,1850,199103,27,1850,10055299,MICHIGAN,1991,Thunderstorm Wind,C,149,27-MAR-91 18:50:00,CST,27-MAR-91 18:50:00,0,0,0,0,0,0,0.0,0.0,0,0,0,42.02,-85.45,1991,3
100,199104,9,1400,199104,9,1400,10055341,MICHIGAN,1991,Hail,C,25,09-APR-91 14:00:00,CST,09-APR-91 14:00:00,0,0,0,0,0,0,1.75,0.0,0,0,0,42.27,-84.95,1991,4
174,199105,13,1522,199105,13,1522,10051956,MICHIGAN,1991,Thunderstorm Wind,C,163,13-MAY-91 15:22:00,CST,13-MAY-91 15:22:00,0,0,0,0,0,0,52.0,0.0,0,0,0,42.2,-83.3,1991,5
189,199108,17,1725,199108,17,1725,10053610,MICHIGAN,1991,Tornado,C,155,17-AUG-91 17:25:00,EST,17-AUG-91 17:25:00,0,0,0,0,0K,0,0.0,1.0,20,0,0,43.1,-83.95,1991,8
535,199107,7,1915,199107,7,1915,10053579,MICHIGAN,1991,Thunderstorm Wind,C,147,07-JUL-91 19:15:00,CST,07-JUL-91 19:15:00,0,0,0,0,0,0,52.0,0.0,0,0,0,42.85,-82.7,1991,7
536,199107,7,1915,199107,7,1915,10053580,MICHIGAN,1991,Thunderstorm Wind,C,147,07-JUL-91 19:15:00,CST,07-JUL-91 19:15:00,0,0,0,0,0,0,52.0,0.0,0,0,0,42.72,-82.48,1991,7
537,199107,7,1915,199107,7,1915,10053581,MICHIGAN,1991,Thunderstorm Wind,C,125,07-JUL-91 19:15:00,CST,07-JUL-91 19:15:00,0,0,0,0,0,0,52.0,0.0,0,0,0,42.67,-83.38,1991,7
538,199107,7,1920,199107,7,1920,10053582,MICHIGAN,1991,Thunderstorm Wind,C,99,07-JUL-91 19:20:00,CST,07-JUL-91 19:20:00,0,0,0,0,0,0,63.0,0.0,0,0,0,42.68,-82.92,1991,7
539,199107,7,1920,199107,7,1920,10053583,MICHIGAN,1991,Thunderstorm Wind,C,163,07-JUL-91 19:20:00,CST,07-JUL-91 19:20:00,0,0,0,0,0,0,52.0,0.0,0,0,0,42.38,-82.88,1991,7
540,199107,7,1920,199107,7,1920,10053584,MICHIGAN,1991,Thunderstorm Wind,C,91,07-JUL-91 19:20:00,CST,07-JUL-91 19:20:00,0,0,0,0,0,0,52.0,0.0,0,0,0,41.83,-83.87,1991,7
541,199107,7,1920,199107,7,1920,10053585,MICHIGAN,1991,Thunderstorm Wind,C,151,07-JUL-91 19:20:00,CST,07-JUL-91 19:20:00,0,0,0,0,0,0,0.0,0.0,0,0,0,43.33,-83.08,1991,7
542,199107,7,1930,199107,7,1930,10053586,MICHIGAN,1991,Thunderstorm Wind,C,115,07-JUL-91 19:30:00,CST,07-JUL-91 19:30:00,0,0,0,0,0,0,52.0,0.0,0,0,0,41.95,-83.65,1991,7
543,199107,7,1930,199107,7,1930,10053587,MICHIGAN,1991,Thunderstorm Wind,C,163,07-JUL-91 19:30:00,CST,07-JUL-91 19:30:00,0,0,0,0,0,0,52.0,0.0,0,0,0,42.08,-83.27,1991,7
544,199107,16,2200,199107,16,2200,10053589,MICHIGAN,1991,Thunderstorm Wind,C,61,16-JUL-91 22:00:00,CST,16-JUL-91 22:00:00,0,0,0,0,0,0,61.0,0.0,0,0,0,47.03,-88.53,1991,7
545,199107,17,215,199107,17,215,10053590,MICHIGAN,1991,Thunderstorm Wind,C,47,17-JUL-91 02:15:00,CST,17-JUL-91 02:15:00,0,0,0,0,0,0,60.0,0.0,0,0,0,45.55,-84.77,1991,7
546,199107,22,1110,199107,22,1110,10053591,MICHIGAN,1991,Thunderstorm Wind,C,125,22-JUL-91 11:10:00,CST,22-JUL-91 11:10:00,0,0,0,0,0,0,0.0,0.0,0,0,0,42.67,-83.38,1991,7
